nameseq,k1,k2,label
NC_007438.1,1.9977444008809426,3.976313066742613,mRNA
NC_007438.1,1.9472410552388895,3.8440890411349624,mRNA
NC_007438.1,1.9381634868389472,3.8388439412934403,mRNA
NC_007438.1,1.9323257779362566,3.8295012346786796,mRNA
NC_007438.1,1.934832628817381,3.810764212198536,mRNA
NC_007438.1,1.9251990068796527,3.8160484909593198,mRNA
NC_007438.1,1.9018568940178395,3.746366001791739,mRNA
NC_007438.1,1.8908609259588123,3.719469351252731,mRNA
NC_007438.1,1.924396311374092,3.808932589484696,mRNA
NC_007438.1,1.9262802217293136,3.809363552327439,mRNA
NC_007438.1,1.9626023578688137,3.9054546883340855,mRNA
NC_007438.1,1.926860307276189,3.8043558367893415,mRNA
NC_007438.1,1.9233491639577673,3.800273249727429,mRNA
NC_007438.1,1.8783794963046179,3.7020035391446657,mRNA
NC_007438.1,1.8968267124609666,3.558370467033413,mRNA
NC_007438.1,1.946717879619051,3.838382243576451,mRNA
NC_007438.1,1.8867609135593773,3.6534168374997744,mRNA
NC_007438.1,1.8989208598973897,3.7788103436505245,mRNA
NC_007438.1,1.894496980453562,3.7408598218070175,mRNA
NC_007438.1,1.8876954765659697,3.734674669852983,mRNA
NC_007438.1,1.9274212110004232,3.8124698964622885,mRNA
NC_007438.1,1.9509064028215575,3.864944194121135,mRNA
NC_007438.1,1.9432329307962153,3.8310544708602063,mRNA
NC_007438.1,1.9519771927307534,3.8679864535462483,mRNA
NC_007438.1,1.9052579765707027,3.7500911034277324,mRNA
NC_007438.1,1.8916372113290376,3.7245638507207226,mRNA
NC_007438.1,1.9535394259635357,3.869030628098551,mRNA
NC_007438.1,1.8715336034216095,3.701959518363241,mRNA
NC_007438.1,1.9221912189403636,3.792907089970956,mRNA
NC_007438.1,1.9342557507824718,3.8242443120947427,mRNA
NC_047072.1,1.9314749851582806,3.8301904524490826,mRNA
NC_047072.1,1.9475875561244638,3.8868487907181737,mRNA
NC_047072.1,1.978027910780328,3.8963640401784545,mRNA
NC_047072.1,1.979382053887348,3.915263050592134,mRNA
NC_047072.1,1.9170976501011248,3.6954246767132597,mRNA
NC_047072.1,1.9773707324128302,3.915858450460044,mRNA
NC_047072.1,1.9836973948086478,3.9527618993558984,mRNA
NC_047072.1,1.8935595984286895,3.64432131369572,mRNA
NC_047072.1,1.9710349725639915,3.9049725617971487,mRNA
NC_047072.1,1.9044676306213173,3.6937233121064983,mRNA
NC_047072.1,1.9689718508584981,3.9143490721311336,mRNA
NC_047072.1,1.9521307209945973,3.851569338177559,mRNA
NC_047072.1,1.8824098379979401,3.7372914375839703,mRNA
NC_047072.1,1.9530782651635423,3.866408176821731,mRNA
NC_047072.1,1.942889963685638,3.84998508304729,mRNA
NC_047072.1,1.9588203941245481,3.8692413325104646,mRNA
NC_047072.1,1.9539458882190963,3.870700774297107,mRNA
NC_047072.1,1.9799303666142445,3.9128572124579777,mRNA
NC_047072.1,1.9358547502523746,3.847085043771174,mRNA
NC_047072.1,1.9249161514791573,3.79760872758781,mRNA
NC_047072.1,1.9628633326330334,3.8830408960173726,mRNA
NC_047072.1,1.984205016929662,3.9426140985583955,mRNA
NC_047072.1,1.9425121359355495,3.8400127436075833,mRNA
NC_047072.1,1.9340665242666022,3.8569383925302465,mRNA
NC_047072.1,1.9789484091830862,3.9288512965053703,mRNA
NC_047072.1,1.8889910082864525,3.6595871723809776,mRNA
NC_047072.1,1.9292156585080957,3.8273472804421598,mRNA
