nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
NC_007438.1,744.7499999999997,492.03512157354817,10712.25,1.0506026099694643,0.21617992614971476,6.822180136908024,987.9241494163405,988.9484360050141,107.3274751518286,183.26045145805472,492.03512157354817,964.4489552506777,10711.19939739003,978019.0090767633,781.188503792623,390.5942518963115,1.326517823989716,0.7674117853352018,0.24767491324167754,mRNA
NC_007438.1,637.7500000000003,459.9449025048084,4160.25,0.3414717394117631,0.22945250228668485,6.6672730507245666,665.4467484329607,666.2059577482548,62.49966955632664,142.61998646124295,459.9449025048084,909.325671435922,4159.908528260588,443830.3781392695,766.7056849746791,383.35284248733956,1.0434288489736736,0.801589749655699,0.2552720346435131,mRNA
NC_007438.1,665.0000000000002,391.08925058087686,17424.0,0.9429104273103962,0.23057644110275682,6.944583468154657,1057.701753803973,1058.8533074970233,81.3533144510142,156.89777791012565,391.08925058087686,847.1947693399236,17423.05708957269,1121170.3267973857,690.2969914297979,345.14849571489896,1.5905289530886806,0.7769035508375116,0.2194334483469719,mRNA
NC_007438.1,724.7499999999998,512.5500391883259,13806.25,0.7102192143996896,0.22214556743704733,6.776543905820632,890.2286925279369,891.1516877914371,118.11067810112422,204.09244237040713,512.5500391883259,989.6915342940841,13805.5397807856,794151.330653527,785.599091923677,392.7995459618385,1.2283252052817346,0.7150970169556112,0.2800026767392436,mRNA
NC_007438.1,700.5000000000006,467.21262716090627,4916.347612360991,0.12439689162059246,0.2255531763026408,6.755760902834418,711.2947701199553,712.046270350816,117.17571388590221,209.07623344199405,467.21262716090627,1016.0520978103159,4916.22321546937,507009.8911205074,806.9758643683218,403.4879321841609,1.0154100929621053,0.9839269848690939,0.273429667043806,mRNA
NC_007438.1,549.7500000000002,340.03816836749957,3306.249999999998,1.0568943727497515,0.23222676974382286,6.283452200189318,578.2507025503729,579.007080509474,70.42805040907417,122.70611174938274,340.03816836749957,846.8275661135451,3305.1931056272483,335249.19928010454,724.1214543641623,362.06072718208117,1.0518430241934928,1.08799780462471,0.27971715336679653,mRNA
NC_007438.1,625.75,454.31510956519753,3124.113818263404,7.168132308705654,0.22532960447463043,6.284486328769846,578.2122231499434,578.8969033461756,108.39609335910947,198.4621481197475,454.31510956519753,906.6737664634629,3116.9456859546985,335121.6247037914,708.2116183437154,354.1058091718577,0.9240307201756985,0.889473882967425,0.24764842021169697,mRNA
NC_007438.1,685.75,459.7367289085286,15500.25,10.338824332398481,0.22505772268805446,6.704907793542675,935.5863802984736,936.5983723523511,118.99509396764608,192.533323386826,459.7367289085286,915.8076149520006,15489.911175667601,877216.5110930734,723.2742915651745,361.63714578258725,1.364325745969338,0.7247217654644608,0.23888211109312785,mRNA
NC_007438.1,567.4999999999997,368.2748241342339,3043.549713516109,3.3800123248838605,0.2337738619676947,6.275846452342171,567.3634196879458,568.0775337776277,84.55210710236958,167.5161841810853,368.2748241342339,746.3717497650983,3040.169701191225,322712.08438287163,578.855565584013,289.4277827920065,0.9997593298466011,1.053426264114848,0.23579520599668005,mRNA
NC_007438.1,680.7500000000003,456.6936091929711,6006.25,3.057064856018072,0.23258660790794455,6.9204961080569785,722.5978307468131,723.3596631468556,98.0622248148432,177.206371399092,456.6936091929711,1017.9715600705671,6003.192935143982,523249.2022679325,840.765188671475,420.3825943357375,1.0614731263265702,0.9302119987357189,0.292037410425069,mRNA
