nameseq,k1,k2,label
NC_007438.1,1.8893933004075505,3.736203107666788,mRNA
NC_007438.1,1.8991242015474536,3.7378431994735464,mRNA
NC_007438.1,1.9446108984036563,3.8596788127072585,mRNA
NC_007438.1,1.9181228272204143,3.801135320320293,mRNA
NC_007438.1,1.946330387803041,3.85213003632184,mRNA
NC_007438.1,1.9499962799336161,3.879335997265648,mRNA
NC_007438.1,1.9040779658213274,3.7836570888220002,mRNA
NC_007438.1,1.8955187177894097,3.7668639712063636,mRNA
NC_007438.1,1.9216458961017238,3.7636091254839394,mRNA
NC_007438.1,1.88033311177435,3.7152716264381347,mRNA
NC_007438.1,1.903122556781111,3.6226503018841254,mRNA
NC_007438.1,1.9114166636455732,3.794234232236191,mRNA
NC_007438.1,1.957791958236398,3.8805599592391267,mRNA
NC_007438.1,1.926271365047032,3.79537853969375,mRNA
NC_007438.1,1.8673429801361505,3.7073736665708656,mRNA
NC_007438.1,1.9571504367933685,3.87374974474883,mRNA
NC_007438.1,1.9000244902793317,3.7687595713110347,mRNA
NC_007438.1,1.9264236603656286,3.827624320337325,mRNA
NC_007438.1,1.8833440714855878,3.754186858301721,mRNA
NC_007438.1,1.8862973995620957,3.7334853454373405,mRNA
NC_007438.1,1.8874018909838024,3.7354613548708238,mRNA
NC_007438.1,1.886496168497752,3.4425652007016927,mRNA
NC_007438.1,1.919530438072029,3.7882373076990805,mRNA
NC_007438.1,1.8745657663153645,3.71927467345808,mRNA
NC_007438.1,1.959697974112223,3.868839949475056,mRNA
NC_007438.1,1.9400512990094532,3.829925614044301,mRNA
NC_007438.1,1.9612340485908404,3.876172481666947,mRNA
NC_007438.1,1.952287361302114,3.8860678102499255,mRNA
NC_007438.1,1.9532370434638877,3.878109564994604,mRNA
NC_007438.1,1.8992872650842214,3.7669031280974172,mRNA
NC_047072.1,1.9955945585020656,3.972103485954955,mRNA
NC_047072.1,1.9843118676261908,3.924916446691635,mRNA
NC_047072.1,1.9717321929576133,3.900665764182138,mRNA
NC_047072.1,1.9220037436900266,3.5844196094605216,mRNA
NC_047072.1,1.8551319492208695,3.6472636144696766,mRNA
NC_047072.1,1.9572476722067997,3.8749914986818723,mRNA
NC_047072.1,1.947524931439033,3.843014605253833,mRNA
NC_047072.1,1.9579009457093601,3.872729451721797,mRNA
NC_047072.1,1.8985860019747314,3.769074104889254,mRNA
NC_047072.1,1.9878562275321752,3.9218230336546847,mRNA
NC_047072.1,1.9393688076179614,3.852597811658687,mRNA
NC_047072.1,1.968890642248812,3.8945701064635645,mRNA
NC_047072.1,1.9672246504169704,3.908259604862882,mRNA
NC_047072.1,1.9722729289776515,3.91960157602719,mRNA
NC_047072.1,1.9186301102977839,3.7966144802831367,mRNA
NC_047072.1,1.9870811066765415,3.9431274407666335,mRNA
NC_047072.1,1.8995195445282167,3.781422438563901,mRNA
NC_047072.1,1.9890648835787972,3.948981987897634,mRNA
NC_047072.1,1.9630431951824727,3.8109300764183636,mRNA
NC_047072.1,1.9606413298765322,3.845032012859607,mRNA
NC_047072.1,1.99716740135923,3.942373545130856,mRNA
NC_047072.1,1.9274269309701682,3.8398503155644725,mRNA
NC_047072.1,1.9357537898838468,3.8436662909413437,mRNA
NC_047072.1,1.9611691711523038,3.890458241969993,mRNA
NC_047072.1,1.9164021628210486,3.7802137068568684,mRNA
NC_047072.1,1.983327698845018,3.941592161630093,mRNA
NC_047072.1,1.951538485095011,3.850479266042588,mRNA
NC_047072.1,1.9340676845123217,3.8078919288157027,mRNA
NC_047072.1,1.9818475632589985,3.9441263549647596,mRNA
NC_047072.1,1.9021154521367591,3.7422783500801744,mRNA
NC_000005.10,1.9866110811886135,3.8702342032381374,mRNA
NC_000005.10,1.994476246205897,3.9648324428426527,mRNA
NC_000005.10,1.9220659282065586,3.7611742526002585,mRNA
NC_000005.10,1.980112514545319,3.907852362156697,mRNA
NC_000005.10,1.5446607060443778,2.884394101686952,mRNA
NC_000005.10,1.9295436103623975,3.7932917188684363,mRNA
NC_000005.10,1.98473187654916,3.8439673738915396,mRNA
NC_000005.10,1.9976549171609586,3.9314930469802762,mRNA
NC_000005.10,1.8588128901662442,3.469116777471408,mRNA
NC_000005.10,1.9718611446204257,3.8384186470297483,mRNA
NC_000005.10,1.9862278591763076,3.895104265380578,mRNA
NC_000005.10,1.7803297148552737,3.2294822628486215,mRNA
NC_000005.10,1.9702181276826625,3.8393038768173957,mRNA
NC_000005.10,1.9497903279493543,3.8025857640750322,mRNA
NC_000005.10,1.977992056506045,3.9023039381677376,mRNA
NC_000005.10,1.8003987676418478,3.3233395942648287,mRNA
NC_000005.10,1.9344173733183023,3.738244815080409,mRNA
NC_000005.10,1.7475305248913362,3.462883404372335,mRNA
NC_000005.10,1.9777777276549906,3.909075980320992,mRNA
NC_000005.10,1.695144329381118,3.3622325420693358,mRNA
NC_000005.10,1.9388907258149226,3.7996180704645286,mRNA
NC_000005.10,1.9325401197163357,3.77122328461545,mRNA
NC_000005.10,1.9771334218235874,3.869805018875335,mRNA
NC_000005.10,1.9752072269506353,3.8512119163818284,mRNA
NC_000005.10,1.7647832997171968,3.4862577212772314,mRNA
NC_000005.10,1.8852060751744233,3.676466726825588,mRNA
NC_000005.10,1.9693696538872594,3.838851284567037,mRNA
NC_000005.10,1.9503703927430833,3.7832177903162427,mRNA
NC_000005.10,1.9581900577655251,3.823324620185837,mRNA
NC_000005.10,1.9580833921424348,3.8263807029909187,mRNA
NC_061159.1,1.8447394582557937,3.6487499157682493,mRNA
NC_061159.1,1.887096643729974,3.742190211277374,mRNA
NC_061159.1,1.7045683437645778,3.354256174552559,mRNA
NC_061159.1,1.8175681618501225,3.6010612837055875,mRNA
NC_061159.1,1.710166922991554,3.35762995566489,mRNA
NC_061159.1,1.9468946220916967,3.8370335347876328,mRNA
NC_061159.1,1.799436447458379,3.570707818562467,mRNA
NC_061159.1,1.7221381288295152,3.388032959687241,mRNA
NC_061159.1,1.8048692504630128,3.5705725941341986,mRNA
NC_061159.1,1.8459303919709793,3.6675993313269433,mRNA
NC_061159.1,1.8521657786727963,3.6290726034701772,mRNA
NC_061159.1,1.6516080394183477,3.271257897337324,mRNA
NC_061159.1,1.9102106237701002,3.7683822594746097,mRNA
NC_061159.1,1.889719674718068,3.720618042360056,mRNA
NC_061159.1,1.7059530386454664,3.331506849667149,mRNA
NC_061159.1,1.7125527503773474,3.3886004899371125,mRNA
NC_061159.1,1.720323807736681,3.416047820421683,mRNA
NC_061159.1,1.8379661603873787,3.6571395319518483,mRNA
NC_061159.1,1.8292631487380908,3.611812832891217,mRNA
NC_061159.1,1.8821050810162059,3.7312416200482965,mRNA
NC_061159.1,1.780324645949254,3.517792953384816,mRNA
NC_061159.1,1.7719081963878855,3.496420430524172,mRNA
NC_061159.1,1.8287228789147838,3.6120745634130267,mRNA
NC_061159.1,1.8426927650941862,3.639592015318432,mRNA
NC_061159.1,1.9110469194241433,3.7661473002103714,mRNA
NC_061159.1,1.9476472472086266,3.8637286767890267,mRNA
NC_061159.1,1.8453463467364837,3.650394504047732,mRNA
NC_061159.1,1.896349796428436,3.768576276914678,mRNA
NC_061159.1,1.8860545804022688,3.639729861240283,mRNA
